DATE,TIME,SPO2,PULSE
0000-00-00, 00:02:39, 97, 64
0000-00-00, 00:02:40, 97, 64
0000-00-00, 00:02:41, 96, 64
0000-00-00, 00:02:42, 96, 65
0000-00-00, 00:02:43, 96, 65
0000-00-00, 00:02:44, 96, 66
0000-00-00, 00:02:45, 96, 66
0000-00-00, 00:02:46, 96, 67
0000-00-00, 00:02:47, 96, 67
0000-00-00, 00:02:48, 96, 67
0000-00-00, 00:02:49, 96, 67
0000-00-00, 00:02:50, 95, 67
0000-00-00, 00:02:51, 95, 67
0000-00-00, 00:02:52, 95, 67
0000-00-00, 00:02:53, 96, 66
0000-00-00, 00:02:54, 96, 66
0000-00-00, 00:02:55, 96, 66
0000-00-00, 00:02:56, 96, 65
0000-00-00, 00:02:57, 96, 65
0000-00-00, 00:02:58, 96, 66
0000-00-00, 00:02:59, 97, 66
0000-00-00, 00:03:00, 97, 66
0000-00-00, 00:03:01, 97, 66
0000-00-00, 00:03:02, 97, 66
0000-00-00, 00:03:03, 96, 66
0000-00-00, 00:03:04, 96, 66
0000-00-00, 00:03:05, 96, 66
0000-00-00, 00:03:06, 96, 66
0000-00-00, 00:03:07, 97, 66
0000-00-00, 00:03:08, 97, 66
0000-00-00, 00:03:09, 97, 66
0000-00-00, 00:03:10, 96, 66
0000-00-00, 00:03:11, 96, 66
0000-00-00, 00:03:12, 96, 67
0000-00-00, 00:03:13, 96, 67
0000-00-00, 00:03:14, 96, 67
0000-00-00, 00:03:15, 96, 67
0000-00-00, 00:03:16, 96, 66
0000-00-00, 00:03:17, 96, 66
0000-00-00, 00:03:18, 96, 66
0000-00-00, 00:03:19, 96, 65
0000-00-00, 00:03:20, 96, 65
0000-00-00, 00:03:21, 96, 64
0000-00-00, 00:03:22, 96, 64
0000-00-00, 00:03:23, 96, 64
0000-00-00, 00:03:24, 96, 65
0000-00-00, 00:03:25, 96, 65
0000-00-00, 00:03:26, 96, 65
0000-00-00, 00:03:27, 96, 65
0000-00-00, 00:03:28, 96, 65
0000-00-00, 00:03:29, 96, 65
0000-00-00, 00:03:30, 96, 65
0000-00-00, 00:03:31, 96, 65
0000-00-00, 00:03:32, 96, 65
0000-00-00, 00:03:33, 96, 65
0000-00-00, 00:03:34, 96, 66
0000-00-00, 00:03:35, 96, 66
